Original City,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
ushuaia,1544403600,Ushuaia,AR,-68.31,-54.81,13.0,43,20,7.72,1544428241,1544490127
constitucion,1544402460,Constitucion,MX,-104.67,23.99,14.0,35,5,2.1,1544448654,1544487134
longyearbyen,1544403000,Longyearbyen,SJ,15.64,78.22,-7.0,62,75,6.7,0,0
bluff,1544404945,Bluff,NZ,168.33,-46.6,11.56,100,0,3.37,1544374038,1544430694
owando,1544404946,Owando,CG,15.91,-0.49,21.41,95,36,0.97,1544417075,1544460822
hobart,1544403600,Hobart,AU,147.33,-42.88,20.0,34,75,3.1,1544379933,1544434879
klaksvik,1544403000,Klaksvik,FO,-6.59,62.23,2.0,64,68,5.7,1544434815,1544453869
andijon,1544403600,Andijan,UZ,72.37,40.76,4.0,74,75,2.0,1544408606,1544442173
union,1544404952,Union,PH,124.09,12.9,24.71,100,80,3.47,1544392478,1544433473
castro,1544403600,Castro,CL,-73.76,-42.48,12.0,100,90,6.2,1544433079,1544487888
georgetown,1544404955,Georgetown,SH,-14.42,-7.93,24.63,100,56,8.02,1544423593,1544468869
hambantota,1544404956,Hambantota,LK,81.12,6.12,24.96,100,88,2.37,1544402091,1544444494
saint-philippe,1544403600,Saint-Philippe,RE,55.77,-21.36,25.0,61,75,3.1,1544405253,1544453510
grand gaube,1544403600,Grand Gaube,MU,57.66,-20.01,23.0,94,75,2.6,1544404961,1544452895
qaanaaq,1544404961,Qaanaaq,GL,-69.36,77.48,-19.4,97,68,7.97,0,0
cairns,1544403600,Cairns,AU,145.77,-16.92,27.0,83,75,4.1,1544384166,1544431382
impfondo,1544404964,Impfondo,CG,18.07,1.64,22.51,99,20,1.22,1544416772,1544460087
namibe,1544404965,Namibe,AO,12.15,-15.19,21.01,100,0,1.32,1544416436,1544463270
tuktoyaktuk,1544402460,Tuktoyaktuk,CA,-133.03,69.44,-14.0,84,90,4.6,0,0
namtsy,1544403600,Namtsy,RU,129.66,62.72,-40.0,65,90,1.37,1544402433,1544420829
san cristobal,1544404970,San Cristobal,EC,-79.44,-1.02,18.26,90,48,0.52,1544439912,1544483767
saskylakh,1544405051,Saskylakh,RU,114.09,71.97,-28.8,57,20,3.12,0,0
port alfred,1544404973,Port Alfred,ZA,26.89,-33.59,17.83,100,12,2.32,1544410522,1544462113
vila velha,1544403600,Vila Velha,BR,-38.6,-3.71,28.0,78,75,3.1,1544429833,1544474237
rikitea,1544404979,Rikitea,PF,-134.97,-23.12,26.33,96,76,6.32,1544450824,1544499524
busselton,1544404981,Busselton,AU,115.35,-33.64,19.41,95,0,6.82,1544389282,1544440879
hermanus,1544404982,Hermanus,ZA,19.24,-34.42,8.66,97,0,1.52,1544412227,1544464082
avarua,1544403600,Avarua,CK,-159.78,-21.21,25.0,100,90,8.2,1544457014,1544505246
cockburn town,1544404985,Cockburn Town,TC,-71.14,21.46,27.31,98,0,10.68,1544440302,1544479388
bahia honda,1544404986,Bahia Honda,CU,-83.16,22.9,27.01,65,88,3.37,1544443358,1544482103
bela,1544404987,Bela,PK,66.31,26.23,9.41,86,0,0.77,1544407878,1544445814
paamiut,1544404984,Paamiut,GL,-49.67,61.99,-1.77,100,44,4.92,1544444999,1544464370
severo-kurilsk,1544404990,Severo-Kurilsk,RU,156.12,50.68,-1.7,100,88,3.42,1544390728,1544419834
ilulissat,1544403000,Ilulissat,GL,-51.1,69.22,-12.0,55,0,6.2,0,0
plyussa,1544404992,Plyussa,RU,29.37,58.42,0.48,93,92,3.22,1544423978,1544447441
hithadhoo,1544404831,Hithadhoo,MV,73.08,-0.6,28.06,100,68,5.27,1544403338,1544447108
upernavik,1544404997,Upernavik,GL,-56.15,72.79,-13.5,100,8,2.72,0,0
fortuna,1544403300,Fortuna,US,-124.16,40.6,12.0,93,90,6.7,1544455771,1544489372
hilo,1544403180,Hilo,US,-155.08,19.71,25.6,68,75,4.1,1544460254,1544499740
mar del plata,1544405002,Mar del Plata,AR,-67.52,-46.43,23.26,38,36,8.97,1544430682,1544487293
bathsheba,1544403600,Bathsheba,BB,-59.52,13.22,26.0,69,20,9.3,1544436595,1544477517
tshikapa,1544405004,Tshikapa,CD,20.79,-6.42,21.38,97,56,1.07,1544415297,1544460258
grindavik,1544403600,Grindavik,IS,-22.43,63.84,2.0,93,75,9.3,1544439900,1544456388
conceicao da barra,1544404814,Conceicao da Barra,BR,-39.73,-18.59,22.91,100,92,7.17,1544428505,1544476112
puerto ayora,1544400000,Puerto Ayora,EC,-90.35,-0.74,26.0,65,0,3.1,1544442560,1544486358
hasaki,1544403600,Hasaki,JP,140.83,35.73,5.0,56,75,4.1,1544391314,1544426595
gazojak,1544405014,Gazojak,TM,61.4,41.19,-5.9,96,0,1.32,1544411320,1544444726
ponta do sol,1544403600,Ponta do Sol,CV,-25.09,17.2,23.0,78,0,5.1,1544428761,1544468818
stornoway,1544403000,Stornoway,GB,-6.39,58.21,2.0,93,68,2.6,1544432470,1544456120
lydenburg,1544404742,Lydenburg,ZA,30.46,-25.1,15.01,100,92,0.97,1544410864,1544460054
moses lake,1544403180,Moses Lake,US,-119.28,47.13,1.1,78,75,1.5,1544455955,1544486843
albany,1544403600,Albany,AU,117.88,-35.02,20.0,68,40,3.6,1544388455,1544440493
new norfolk,1544403600,New Norfolk,AU,147.06,-42.78,20.0,34,75,3.1,1544380019,1544434923
sao filipe,1544405023,Sao Filipe,CV,-24.5,14.9,24.81,91,0,4.52,1544428368,1544468929
miandrivazo,1544405024,Miandrivazo,MG,45.46,-19.53,21.71,92,36,1.17,1544407946,1544455768
kavieng,1544405026,Kavieng,PG,150.8,-2.57,30.01,100,8,1.27,1544384480,1544428650
kapaa,1544403360,Kapaa,US,-159.32,22.08,26.7,75,90,8.2,1544461547,1544500482
barrow,1544403300,Barrow,US,-90.4,39.51,-2.8,89,1,3.57,1544447468,1544481465
porto walter,1544405029,Porto Walter,BR,-72.74,-8.27,26.33,83,8,0.97,1544437558,1544482906
mikumi,1544405030,Mikumi,TZ,36.98,-7.4,20.01,99,92,1.37,1544411309,1544456473
port elizabeth,1544403600,Port Elizabeth,ZA,25.57,-33.92,13.0,82,0,1.5,1544410787,1544462482
kropotkin,1544405034,Kropotkin,RU,40.58,45.43,-0.2,91,24,3.57,1544417176,1544448865
bhander,1544405036,Bhander,IN,78.75,25.74,9.61,83,8,2.02,1544404830,1544442889
sandwick,1544399400,Sandwick,GB,-2.89,54.57,0.0,96,20,1.0,1544430148,1544456762
dikson,1544405041,Dikson,RU,80.55,73.51,-6.6,96,76,10.33,0,0
sault sainte marie,1544403600,Sault Sainte Marie,CA,-84.36,46.49,-1.1,86,90,4.6,1544447419,1544478612
campobello di mazara,1544403000,Campobello di Mazara,IT,12.74,37.64,17.0,72,40,12.9,1544422380,1544457030
punta arenas,1544403600,Punta Arenas,CL,-70.91,-53.16,12.0,71,0,8.7,1544429493,1544490119
manhattan,1544403120,Manhattan,US,-96.57,39.18,0.8,68,1,1.5,1544448892,1544483004
thompson,1544403600,Thompson,CA,-97.86,55.74,-17.0,84,5,1.37,1544453393,1544479117
hearst,1544405053,Hearst,CA,-83.67,49.69,-12.15,74,0,2.02,1544448047,1544477652
moscow,1544403180,Moscow,US,-117.0,46.73,4.4,72,1,6.7,1544455313,1544486390
tura,1544405058,Tura,RU,100.22,64.27,-26.95,70,76,1.27,1544410822,1544426576
samarai,1544405059,Samarai,PG,150.67,-10.62,28.71,100,68,2.42,1544383678,1544429516
omboue,1544405060,Omboue,GA,9.26,-1.57,25.71,100,48,1.82,1544418562,1544462529
vaini,1544405064,Vaini,TO,-175.2,-21.2,24.16,100,68,6.37,1544460716,1544508947
barcelos,1544405066,Barcelos,BR,-62.93,-0.97,23.31,97,48,0.97,1544435953,1544479799
kupang,1544405068,Kupang,ID,123.6,-10.16,28.36,96,100,2.47,1544390225,1544435966
enid,1544403360,Enid,US,-97.88,36.4,3.4,48,1,1.32,1544448741,1544483784
aginskoye,1544405071,Aginskoye,RU,114.54,51.11,-31.67,35,24,1.42,1544400837,1544429690
santa fe,1544403300,Santa Fe,CU,-82.26,23.13,23.0,94,75,2.1,1544443170,1544481859
jamestown,1544405075,Jamestown,SH,-5.72,-15.94,20.96,100,88,7.77,1544420642,1544467644
batemans bay,1544405077,Batemans Bay,AU,150.18,-35.71,22.33,85,68,0.97,1544380589,1544432850
nome,1544404500,Nome,US,-94.42,30.04,8.9,90,90,1.5,1544446971,1544483894
mlandizi,1544400000,Mlandizi,TZ,38.74,-6.71,26.0,94,20,2.17,1544410958,1544455979
orshanka,1544405081,Orshanka,RU,47.89,56.92,-5.92,91,68,3.57,1544418859,1544443669
port hardy,1544400000,Port Hardy,CA,-127.42,50.7,7.0,93,90,2.1,1544458833,1544487873
saint george,1544403300,Saint George,BM,-64.68,32.38,18.0,88,90,10.3,1544440159,1544476427
la ronge,1544403600,La Ronge,CA,-105.3,55.1,-5.0,79,20,3.1,1544454939,1544481144
suez,1544405089,Suez,EG,32.54,29.97,4.16,77,0,0.97,1544416477,1544453429
zyryanka,1544405090,Zyryanka,RU,150.89,65.73,-32.85,43,68,1.02,1544400272,1544412795
nyurba,1544405096,Nyurba,RU,118.35,63.29,-30.95,35,24,2.77,1544405598,1544423095
kaitangata,1544405099,Kaitangata,NZ,169.85,-46.28,12.81,90,92,3.12,1544373753,1544430250
kayes,1544404951,Kayes,ML,-11.44,14.44,17.91,42,0,2.52,1544425182,1544465844
fairbanks,1544403480,Fairbanks,US,-147.72,64.84,-10.6,92,90,1.37,1544470996,1544485451
vangaindrano,1544405104,Vangaindrano,MG,47.6,-23.35,21.86,92,32,1.32,1544406971,1544455716
mizdah,1544405108,Mizdah,LY,12.98,31.45,6.13,90,0,3.82,1544421378,1544457919
provideniya,1544403600,Provideniya,RU,-173.23,64.42,-12.0,60,20,9.0,1544476690,1544492006
sicamous,1544404560,Sicamous,CA,-118.99,50.84,-2.0,68,90,1.5,1544456848,1544485810
mahebourg,1544403600,Mahebourg,MU,57.7,-20.41,23.0,94,75,2.6,1544404904,1544452933
yeppoon,1544403600,Yeppoon,AU,150.74,-23.13,29.0,54,40,6.2,1544382240,1544430924
bida,1544405121,Bida,NG,6.02,9.08,24.38,78,0,1.57,1544420425,1544462218
shaoguan,1544405128,Shaoguan,CN,113.59,24.81,4.56,94,92,1.47,1544396349,1544434642
atuona,1544405131,Atuona,PF,-139.03,-9.8,26.98,100,0,6.52,1544453311,1544498983
coahuayana,1544405132,Coahuayana,MX,-100.35,18.62,24.88,45,0,0.92,1544446989,1544486726
kirkwall,1544403000,Kirkwall,GB,-2.96,58.98,3.0,100,32,10.8,1544432018,1544454924
kodiak,1544403300,Kodiak,US,-94.76,39.95,-1.8,84,1,1.17,1544448593,1544482434
ortigueira,1544405141,Ortigueira,BR,-50.93,-24.21,19.88,72,20,1.32,1544430514,1544479482
nhulunbuy,1544403600,Nhulunbuy,AU,136.78,-12.18,35.0,41,20,5.1,1544386846,1544433018
tocopilla,1544405144,Tocopilla,CL,-70.2,-22.09,18.01,89,56,2.52,1544435404,1544483845
karasjok,1544403000,Karasjok,NO,25.52,69.47,-7.0,92,75,5.1,0,0
ribeira grande,1544401800,Ribeira Grande,PT,-28.7,38.52,18.0,93,75,6.7,1544432480,1544466828
cidreira,1544405151,Cidreira,BR,-50.22,-30.17,22.23,67,64,5.12,1544429542,1544480116
adrar,1544400000,Adrar,DZ,-0.29,27.87,12.0,40,0,6.2,1544424080,1544461590
san vito,1544405156,San Vito,CR,-82.97,8.82,19.36,87,56,0.57,1544441764,1544483609
port blair,1544405159,Port Blair,IN,92.75,11.67,27.56,100,80,5.32,1544399873,1544441127
carutapera,1544405161,Carutapera,BR,-46.02,-1.2,26.73,85,48,2.87,1544431870,1544475762
murgab,1544403600,Murgab,TM,61.97,37.5,8.0,93,75,1.37,1544410536,1544445237
tiksi,1544404969,Tiksi,RU,128.87,71.64,-36.27,59,0,5.27,0,0
nouadhibou,1544400000,Nouadhibou,MR,-17.03,20.93,19.0,63,0,2.6,1544427248,1544466460
chokurdakh,1544405173,Chokurdakh,RU,147.9,70.62,-34.35,50,32,4.12,0,0
nikolskoye,1544403600,Nikolskoye,RU,30.79,59.7,-1.0,86,20,4.0,1544424282,1544446454
sinazongwe,1544405176,Sinazongwe,ZM,27.46,-17.26,23.31,95,64,2.12,1544412529,1544459827
east london,1544405177,East London,ZA,27.91,-33.02,19.46,100,92,3.02,1544410366,1544461780
dingle,1544405181,Dingle,IE,-10.27,52.14,9.66,96,12,4.32,1544431120,1544459335
katsuura,1544403600,Katsuura,JP,134.5,33.93,5.0,75,75,2.1,1544392558,1544428390
bambous virieux,1544403600,Bambous Virieux,MU,57.76,-20.34,23.0,94,75,2.6,1544404898,1544452910
portland,1544405188,Portland,AU,149.98,-33.35,23.21,74,56,0.97,1544381015,1544432519
zhangye,1544405190,Zhangye,CN,100.46,38.94,-20.3,66,68,1.27,1544401536,1544435755
lagoa,1544401800,Lagoa,PT,-8.45,37.14,10.0,87,0,2.1,1544427386,1544462199
hamilton,1544403300,Hamilton,BM,-64.78,32.3,18.0,88,90,10.3,1544440171,1544476462
vostok,1544405194,Vostok,RU,135.83,46.45,-22.87,64,20,1.12,1544394530,1544425777
ust-ilimsk,1544405197,Ust-Ilimsk,RU,102.73,57.96,-22.02,77,80,3.02,1544406141,1544430054
lorengau,1544405199,Lorengau,PG,147.27,-2.02,29.83,96,68,3.12,1544385383,1544429441
bethel,1544403360,Bethel,US,-161.76,60.79,-6.1,95,90,2.6,1544471159,1544492031
araceli,1544405201,Araceli,PH,119.99,10.55,28.01,99,12,9.07,1544393215,1544434705
lufilufi,1544403600,Lufilufi,WS,-171.6,-13.87,24.0,94,90,6.47,1544460692,1544507241
nianzishan,1544405204,Nianzishan,CN,122.88,47.51,-27.35,25,0,1.32,1544397888,1544428636
san carlos de bariloche,1544403600,San Carlos de Bariloche,AR,-71.31,-41.13,13.0,54,75,6.2,1544432767,1544487024
gubkinskiy,1544405098,Gubkinskiy,RU,76.5,64.43,-9.25,92,80,4.32,1544416679,1544432108
bredasdorp,1544403600,Bredasdorp,ZA,20.04,-34.53,14.0,93,0,1.5,1544412017,1544463907
lulea,1544403000,Lulea,SE,22.15,65.58,0.0,96,92,2.1,1544431030,1544443852
el rusio,1544405213,El Rusio,HN,-86.37,14.47,23.06,72,20,1.47,1544443176,1544483828
soyo,1544405217,Soyo,AO,12.37,-6.13,22.61,98,68,1.12,1544417348,1544462250
donghai,1544405219,Donghai,CN,118.76,34.52,-1.02,68,56,4.67,1544396427,1544432079
lebu,1544405221,Lebu,CL,-73.65,-37.62,14.86,97,88,3.72,1544433986,1544486926
namatanai,1544405225,Namatanai,PG,152.44,-3.66,30.01,95,36,2.37,1544383975,1544428367
butaritari,1544405229,Butaritari,KI,172.79,3.07,29.06,100,76,3.82,1544379772,1544422798
kahului,1544403360,Kahului,US,-156.47,20.89,26.7,66,40,8.2,1544460723,1544499938
ust-omchug,1544405239,Ust-Omchug,RU,149.63,61.13,-24.92,54,8,2.27,1544396552,1544417122
cherskiy,1544405243,Cherskiy,RU,161.3,68.75,-27.6,78,56,2.57,0,0
saldanha,1544403600,Saldanha,ZA,17.94,-33.01,15.0,87,0,1.5,1544412760,1544464172
olinda,1544403600,Olinda,BR,-43.41,-22.82,23.0,73,0,1.5,1544428883,1544477502
pisco,1544403600,Pisco,PE,-76.2,-13.71,20.0,82,40,3.1,1544437808,1544484319
khatanga,1544405251,Khatanga,RU,102.47,71.98,-21.95,62,68,4.97,0,0
klyuchi,1544405252,Klyuchi,RU,79.17,52.25,-25.52,64,0,1.42,1544409672,1544437838
aguimes,1544403600,Aguimes,ES,-15.45,27.91,17.0,59,0,3.1,1544427725,1544465223
geraldton,1544403600,Geraldton,AU,114.6,-28.77,21.0,77,75,7.7,1544390178,1544440342
reconquista,1544405275,Reconquista,AR,-59.64,-29.14,26.16,55,76,3.12,1544431950,1544482231
narsaq,1544399400,Narsaq,GL,-46.05,60.91,-1.0,63,68,3.1,1544443432,1544464199
metro,1544405278,Metro,ID,105.31,-5.11,25.96,98,68,1.52,1544395141,1544439831
arlit,1544405286,Arlit,NE,7.39,18.74,14.01,43,0,4.37,1544421135,1544460849
port macquarie,1544403600,Port Macquarie,AU,152.91,-31.43,26.0,61,0,7.7,1544380602,1544431524
victoria,1544403600,Victoria,SC,55.45,-4.62,27.0,78,75,2.6,1544407162,1544451751
hofn,1544405300,Hofn,IS,-15.21,64.25,-2.45,100,0,2.77,1544438546,1544454276
canalete,1544400000,Canalete,CO,-76.24,8.79,28.0,78,40,2.1,1544440145,1544481996
cape town,1544403600,Cape Town,ZA,18.42,-33.93,16.0,77,0,2.1,1544412502,1544464201
yellowknife,1544403600,Yellowknife,CA,-114.38,62.45,-6.0,92,75,7.7,1544460874,1544479566
kharan,1544405309,Kharan,PK,65.42,28.58,5.73,84,0,1.07,1544408395,1544445723
tual,1544405311,Tual,ID,132.75,-5.67,29.98,98,64,3.42,1544388496,1544433301
caarapo,1544405312,Caarapo,BR,-54.82,-22.63,24.66,48,0,4.12,1544431645,1544480219
ganzhou,1544405317,Ganzhou,CN,114.93,25.86,1.63,98,92,1.52,1544396157,1544434189
hoquiam,1544404200,Hoquiam,US,-123.89,46.98,8.3,96,90,6.2,1544457027,1544487985
dunedin,1544405323,Dunedin,NZ,170.5,-45.87,12.41,84,80,1.87,1544373696,1544429994
harper,1544405330,Harper,LR,-7.71,4.38,27.61,100,12,4.02,1544423240,1544465997
jesus carranza,1544403480,Jesus Carranza,MX,-106.24,31.49,11.1,61,1,1.07,1544450011,1544486530
iqaluit,1544403600,Iqaluit,CA,-68.52,63.75,-22.0,83,90,4.6,1544450897,1544467522
bodden town,1544403600,Bodden Town,KY,-81.25,19.28,27.0,74,0,3.22,1544442478,1544482066
hermon,1544403360,Hermon,US,-75.23,44.47,0.0,74,90,5.1,1544444781,1544476867
arman,1544405240,Arman,RU,150.17,59.7,-15.92,62,0,5.52,1544395602,1544417814
florianopolis,1544403600,Florianopolis,BR,-48.55,-27.6,23.0,69,40,4.6,1544429500,1544479356
trenggalek,1544405351,Trenggalek,ID,111.71,-8.05,23.86,99,56,1.47,1544393301,1544438599
vallenar,1544405352,Vallenar,CL,-70.76,-28.58,18.11,69,0,0.77,1544434697,1544484823
norman wells,1544403600,Norman Wells,CA,-126.83,65.28,-14.0,92,75,4.1,1544466475,1544479941
aldan,1544405358,Aldan,RU,125.39,58.61,-26.92,69,68,1.37,1544401003,1544424312
mana,1544405359,Mana,GF,-53.78,5.67,24.61,81,64,1.67,1544434432,1544476926
diu,1544405360,Diu,IN,70.98,20.71,12.66,87,0,1.62,1544406091,1544445359
zhezkazgan,1544403600,Zhezkazgan,KZ,67.71,47.8,-6.0,92,90,2.0,1544411209,1544441806
ronne,1544403000,Ronne,DK,14.71,55.1,6.0,81,36,10.3,1544426113,1544452347
launceston,1544403600,Launceston,AU,147.14,-41.43,21.0,46,75,2.1,1544380277,1544434625
chuy,1544405373,Chuy,UY,-53.46,-33.69,22.96,49,8,4.32,1544429793,1544481423
hohhot,1544403600,Hohhot,CN,111.65,40.81,-15.0,71,0,1.0,1544399182,1544432736
shimoda,1544403600,Shimoda,JP,138.93,34.7,10.0,100,75,7.7,1544391611,1544427210
kelso,1544403360,Kelso,US,-122.91,46.14,5.0,96,90,2.6,1544456597,1544487944
talnakh,1544405378,Talnakh,RU,88.39,69.49,-18.15,77,76,3.37,0,0
praia,1544403600,Praia,CV,-23.51,14.92,24.0,64,20,3.1,1544428132,1544468689
songea,1544405383,Songea,TZ,35.65,-10.68,17.48,99,76,0.82,1544411284,1544457137
puri,1544401800,Puri,IN,85.85,19.8,15.0,93,0,1.0,1544402417,1544441894
kondinskoye,1544405386,Kondinskoye,RU,67.41,59.65,-15.55,73,20,1.42,1544415458,1544437695
matara,1544405392,Matara,LK,80.54,5.95,24.06,100,92,0.52,1544402213,1544444651
rio verde de mato grosso,1544405267,Rio Verde de Mato Grosso,BR,-54.84,-18.92,26.56,53,0,1.97,1544432094,1544479778
acapulco,1544403000,Acapulco,MX,-99.88,16.86,27.0,83,75,1.5,1544446680,1544486810
walvis bay,1544403600,Walvis Bay,NA,14.51,-22.95,14.0,87,0,5.1,1544414964,1544463612
salinas,1544405406,Salinas,EC,-78.13,0.49,6.5,100,12,0.81,1544439751,1544483299
esperance,1544403600,Esperance,AU,121.89,-33.86,28.0,39,0,4.6,1544387678,1544439344
evensk,1544405411,Evensk,RU,159.24,61.92,-13.43,100,0,6.11,1544394755,1544414305
te anau,1544405419,Te Anau,NZ,167.72,-45.41,18.05,55,56,0.86,1544374473,1544430551
tonantins,1544405308,Tonantins,BR,-67.77,-2.86,24.96,93,80,2.22,1544436923,1544481154
berlevag,1544405423,Berlevag,NO,29.09,70.86,-1.23,100,88,3.01,0,0
agadir,1544403600,Agadir,MA,-9.58,30.42,10.0,93,0,3.1,1544426652,1544463478
vardo,1544405429,Vardo,NO,31.11,70.37,1.15,100,68,4.11,0,0
zeya,1544405433,Zeya,RU,127.27,53.74,-26.2,65,0,0.66,1544398598,1544425816
prince rupert,1544404020,Prince Rupert,CA,-130.32,54.32,8.0,87,90,7.7,1544460668,1544487429
lensk,1544405436,Lensk,RU,114.91,60.71,-21.28,57,64,3.86,1544404641,1544425705
zarubino,1544405441,Zarubino,RU,131.06,42.65,-6.1,100,0,3.91,1544394871,1544427727
carnarvon,1544403600,Carnarvon,AU,113.63,-24.87,23.0,69,75,8.7,1544390929,1544440054
changli,1544405444,Changli,CN,105.42,30.54,6.4,100,12,1.96,1544399055,1544435857
manokwari,1544405446,Manokwari,ID,134.08,-0.87,27.68,100,12,2.16,1544388667,1544432491
robertsport,1544405447,Robertsport,LR,-11.37,6.75,28.18,100,0,4.81,1544424361,1544466634
kavaratti,1544405451,Kavaratti,IN,72.64,10.57,29.43,98,0,3.91,1544404586,1544446070
nyuksenitsa,1544405452,Nyuksenitsa,RU,44.24,60.41,-6.85,88,68,4.31,1544421445,1544442834
tasiilaq,1544403000,Tasiilaq,GL,-37.64,65.61,-2.0,46,8,8.7,1544445444,1544458147
arraial do cabo,1544405456,Arraial do Cabo,BR,-42.02,-22.97,21.9,94,0,5.86,1544428531,1544477187
ban dung,1544403600,Ban Dung,TH,103.25,17.7,22.0,83,0,1.0,1544398002,1544437954
mezen,1544405462,Mezen,RU,44.24,65.85,-4.45,74,76,2.96,1544426077,1544438199
ostrovnoy,1544405463,Ostrovnoy,RU,39.51,68.05,-4.53,91,56,5.61,0,0
cayenne,1544403600,Cayenne,GF,-52.33,4.94,27.0,78,90,2.6,1544434009,1544476652
ust-nera,1544405465,Ust-Nera,RU,143.24,64.57,-41.08,0,12,0.71,1544400778,1544415963
sosva,1544405467,Sosva,RU,61.86,59.17,-10.78,98,64,1.16,1544416542,1544439277
kaduqli,1544405470,Kaduqli,SD,29.72,11.01,17.5,35,0,5.46,1544414936,1544456327
gao,1544405473,Gao,ML,-0.04,16.28,13.03,68,0,3.66,1544422645,1544462907
colquechaca,1544405474,Colquechaca,BO,-66.0,-18.7,8.5,82,88,0.26,1544434799,1544482432
vic,1544403600,Vic,ES,2.25,41.93,6.0,100,20,1.0,1544425664,1544458783
bengbu,1544405394,Bengbu,CN,117.38,32.92,1.38,100,92,4.67,1544396520,1544432649
hays,1544403360,Hays,US,-99.33,38.88,-1.1,78,1,4.6,1544449503,1544483719
samthar,1544405491,Samthar,IN,78.91,25.84,14.13,73,44,1.41,1544404804,1544442838
camacha,1544403600,Camacha,PT,-16.33,33.08,17.0,72,75,1.5,1544428651,1544464720
guerrero negro,1544405507,Guerrero Negro,MX,-114.04,27.97,15.58,67,0,3.76,1544451406,1544488881
havre-saint-pierre,1544403600,Havre-Saint-Pierre,CA,-63.6,50.23,-14.0,84,90,2.1,1544443374,1544472688
hobyo,1544405514,Hobyo,SO,48.53,5.35,25.33,89,8,6.36,1544409837,1544452397
strongsville,1544403360,Strongsville,US,-81.84,41.31,-3.3,77,75,2.51,1544445740,1544479083
touros,1544403600,Touros,BR,-35.46,-5.2,27.0,88,40,3.1,1544428927,1544473637
deputatskiy,1544405526,Deputatskiy,RU,139.9,69.3,-43.28,0,8,1.16,0,0
caravelas,1544405529,Caravelas,BR,-39.27,-17.73,24.68,100,100,9.61,1544428494,1544475902
palmer,1544403480,Palmer,US,-149.11,61.6,-2.8,77,1,1.5,1544468630,1544488487
port lincoln,1544405534,Port Lincoln,AU,135.86,-34.72,19.83,82,12,6.01,1544384188,1544436127
sibolga,1544405535,Sibolga,ID,98.78,1.74,25.15,93,32,0.81,1544397406,1544440701
espanola,1544403480,Espanola,US,-117.74,47.6,1.7,79,90,3.6,1544455698,1544486361
shangzhi,1544405545,Shangzhi,CN,127.96,45.21,-12.98,43,0,1.66,1544396144,1544427942
chumphon,1544403600,Chumphon,TH,99.18,10.5,25.0,94,90,1.0,1544398207,1544439706
